Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Lazar Hayward,138,26.4,.452,3.4,.357,.789,6.6,0.9,1.1,0.3,1.7,13.5
Dexter Pittman,134,12.2,.623,0.0,nan,.601,3.9,0.3,0.2,0.9,1.1,6.6
Hassan Whiteside,34,26.1,.524,0.1,.600,.588,8.9,0.3,0.6,5.4,1.9,13.1
Armon Johnson,101,32.7,.467,2.4,.289,.750,3.7,4.4,0.8,0.2,2.7,14.3
Terrico White,66,30.8,.429,5.4,.347,.680,4.0,1.9,0.8,0.2,1.5,14.5
Darington Hobson,35,33.6,.440,3.1,.361,.653,9.3,4.6,1.3,0.4,3.0,15.9
Andy Rautins,127,24.4,.396,5.9,.374,.763,2.6,2.7,1.4,0.2,1.7,8.8
Landry Fields,129,23.6,.463,2.3,.342,.676,5.0,1.6,0.9,0.4,1.5,10.8
Lance Stephenson,34,28.2,.440,2.1,.219,.664,5.4,2.5,0.9,0.2,2.4,12.3
Jarvis Varnado,141,25.5,.589,0.0,.250,.595,7.8,0.6,0.5,4.0,1.4,10.0
Devin Ebanks,69,32.1,.463,1.0,.114,.736,7.9,2.6,0.9,0.7,2.1,11.2
Jerome Jordan,133,24.2,.567,0.0,nan,.696,7.4,0.8,0.4,2.5,2.0,11.3
Gani Lawal,99,24.3,.548,0.0,.000,.552,7.2,0.4,0.6,1.3,2.1,11.8
Tiny Gallon,30,24.0,.547,0.6,.235,.697,7.9,0.8,0.7,0.8,2.3,10.3
Solomon Alabi,77,22.0,.534,0.0,.000,.745,5.4,0.4,0.5,2.1,1.7,9.1
